x y label
0.315462 -2.692732 0.000000
0.123593 2.551995 1.000000
-3.436921 0.849457 0.000000
-0.028360 0.370734 1.000000
4.784861 1.346489 0.000000
0.324934 -1.810607 0.000000
-0.983166 4.439076 1.000000
-2.071310 -0.501783 1.000000
-0.319438 0.328728 1.000000
3.732483 -2.155916 1.000000
2.691682 2.706976 0.000000
2.478122 -4.399399 1.000000
-1.605230 4.581566 0.000000
-0.728065 -1.978702 0.000000
2.774550 -1.609326 1.000000
-0.067882 1.835815 1.000000
0.256623 -2.532320 0.000000
3.367786 -3.016806 1.000000
0.062381 -4.415299 0.000000
0.324458 -2.041989 0.000000
-2.543889 1.230050 0.000000
2.791988 -0.137172 1.000000
-0.285711 2.340737 1.000000
-0.493958 -3.117115 0.000000
3.560729 -2.482293 1.000000
-0.513710 3.455912 1.000000
0.202374 -2.155671 0.000000
0.199224 3.500448 1.000000
-0.343095 -2.759486 0.000000
-1.501388 0.474305 0.000000
-0.292600 -1.696151 0.000000
3.077889 -1.110541 1.000000
-2.718496 -2.478017 1.000000
-4.481355 0.755693 0.000000
0.293455 -3.266266 0.000000
-2.025307 -2.917827 0.000000
1.345671 -2.675288 0.000000
4.269732 -2.248410 1.000000
-4.038939 -1.356687 1.000000
-0.212606 4.839790 1.000000
-0.043579 0.258647 1.000000
-2.652398 0.759502 0.000000
-0.765817 -1.794587 0.000000
4.455684 -0.334594 1.000000
0.135627 -3.246118 0.000000
0.487427 0.578423 1.000000
2.138384 -3.196998 0.000000
-4.188365 2.557015 0.000000
-0.535054 -2.297806 0.000000
-1.324579 2.494812 1.000000
0.710338 3.900805 1.000000
4.503260 -2.069108 1.000000
-4.555034 1.887095 0.000000
-0.449604 -2.476661 0.000000
0.686924 2.558276 1.000000
2.062825 0.146099 0.000000
-3.584128 -1.957605 1.000000
-1.395484 0.657414 1.000000
0.157347 -1.868127 0.000000
-1.005623 -2.481156 0.000000
-4.217176 1.124045 0.000000
-0.498241 2.899561 1.000000
-4.664314 -0.496918 1.000000
1.924418 -3.810434 0.000000
2.770212 -1.847602 1.000000
0.724671 3.030206 1.000000
-3.270340 2.317533 0.000000
-3.445060 2.182268 0.000000
-2.968610 0.926919 0.000000
-3.860126 -2.144431 1.000000
0.738477 -2.960035 0.000000
2.313820 1.370173 0.000000
0.431646 4.471617 1.000000
0.226589 -2.158584 0.000000
1.702016 1.911910 1.000000
-0.681630 2.560452 1.000000
2.564764 -0.578822 1.000000
0.421848 -2.343945 0.000000
0.366163 -2.170018 0.000000
1.833907 1.655761 1.000000
0.080730 -1.647970 0.000000
0.301722 -3.240337 0.000000
-0.151138 1.378349 1.000000
0.426135 1.782828 1.000000
0.613031 0.380496 1.000000
-0.536463 2.368387 1.000000
-0.170525 3.269273 1.000000
-3.044140 -1.518013 1.000000
-0.420016 -0.008362 1.000000
0.464799 1.806797 1.000000
-0.456602 2.948838 1.000000
0.412322 4.444603 1.000000
-0.109981 -2.290017 0.000000
1.314481 -3.644569 0.000000
-0.346709 -1.780266 0.000000
0.260743 -3.210312 0.000000
0.069945 4.017571 1.000000
2.464283 -1.343484 1.000000
3.660023 2.298815 0.000000
1.686496 -0.330177 1.000000
-0.378391 -3.205988 0.000000
4.745338 -0.734518 1.000000
-2.232458 0.982169 0.000000
0.275111 -2.340209 0.000000
